sale_type,sold_date,property_type,address_1,city,state,zip,price,beds,bath,location,square_feet,lot_size,year_built,days_on_market,price_square_foot,hoa_month,status,next_open_house_start_time,next_open_house_end_time,house_url,source,mls_no,favorite,interested,latitude,longitude
MLS Listing,,Single Family Residential,2256 Colgate Dr,Costa Mesa,CA,92626,849000,3,2.0,C4 - Central Costa Mesa,1300,6092,1960,54,653,,Active,,,http://www.redfin.com/CA/Costa-Mesa/2256-Colgate-Dr-92626/home/4551200,CRMLS,OC20099577,N,Y,33.6565978,-117.9111921
MLS Listing,,Townhouse,206 Hartford Dr #121,Newport Beach,CA,92660,929000,3,2.5,NV - East Bluff - Harbor View,1741,,1984,57,534,480,Active,,,http://www.redfin.com/CA/Newport-Beach/206-Hartford-Dr-92660/unit-121/home/5301872,CRMLS,PW20098359,N,Y,33.6377992,-117.8691526
MLS Listing,,Townhouse,37 Waldorf,Irvine,CA,92612,775000,3,3.0,AA - Airport Area,1961,,2013,59,395,350,Active,,,http://www.redfin.com/CA/Irvine/37-Waldorf-92612/home/59050872,CRMLS,OC20096440,Y,Y,33.6753811,-117.8500712
MLS Listing,,Single Family Residential,65 Shearwater Pl,Newport Beach,CA,92660,998800,2,2.0,NV - East Bluff - Harbor View,1221,3500,1986,65,818,230,Active,,,http://www.redfin.com/CA/Newport-Beach/65-Shearwater-Pl-92660/home/4652266,CRMLS,NP20089288,N,Y,33.653525,-117.8721447
MLS Listing,,Single Family Residential,334 Tours Ln,Costa Mesa,CA,92627,903000,4,2.25,Not Applicable,1780,1766,1965,66,507,308,Active,,,http://www.redfin.com/CA/Costa-Mesa/334-Tours-Ln-92627/home/4633723,GPSMLS,219042935,N,Y,33.6534607,-117.893203
MLS Listing,,Single Family Residential,402 Vista Roma,Newport Beach,CA,92660,1199999,4,2.5,NV - East Bluff - Harbor View,1633,2103,1969,73,735,275,Active,,,http://www.redfin.com/CA/Newport-Beach/402-Vista-Roma-92660/home/4643754,CRMLS,NP20086001,N,Y,33.643219,-117.879965
MLS Listing,,Single Family Residential,1796 Pitcairn Dr,Costa Mesa,CA,92626,1150000,4,2.0,C1 - Mesa Verde,1753,8461,1962,73,656,,Active,,,http://www.redfin.com/CA/Costa-Mesa/1796-Pitcairn-Dr-92626/home/3697637,CRMLS,NP20086000,N,Y,33.6733523,-117.9319254
MLS Listing,,Single Family Residential,166 Rochester St Unit B,Costa Mesa,CA,92627,1090000,3,2.5,C5 - East Costa Mesa,2049,2948,2018,80,532,,Active,,,http://www.redfin.com/CA/Costa-Mesa/166-Rochester-St-92627/unit-B/home/145276471,CRMLS,TR20081143,N,Y,33.6380383,-117.9179204
MLS Listing,,Single Family Residential,1895 A Orange Ave,Costa Mesa,CA,92627,1129000,3,2.5,C5 - East Costa Mesa,1829,2178,1997,106,617,,Active,,,http://www.redfin.com/CA/Costa-Mesa/1895-Orange-Ave-92627/unit-A/home/4589481,CRMLS,NP20066013,Y,Y,33.6408842,-117.9135264
MLS Listing,,Townhouse,412 Vista Roma,Newport Beach,CA,92660,1045999,4,2.5,NV - East Bluff - Harbor View,1633,2551,1969,114,641,275,Active,,,http://www.redfin.com/CA/Newport-Beach/412-Vista-Roma-92660/home/4643770,CRMLS,NP20064053,N,Y,33.643619,-117.879905
MLS Listing,,Single Family Residential,118 Magnolia St,Costa Mesa,CA,92627,900000,3,3.0,C5 - East Costa Mesa,1247,4028,1945,115,722,,Active,,,http://www.redfin.com/CA/Costa-Mesa/118-Magnolia-St-92627/home/4594016,CRMLS,PW20057883,N,Y,33.640804,-117.9176458
MLS Listing,,Townhouse,357 W Wilson St,Costa Mesa,CA,92627,599900,2,2.5,C4 - Central Costa Mesa,1300,1300,1992,122,461,300,Active,,,http://www.redfin.com/CA/Costa-Mesa/357-W-Wilson-St-92627/home/5674100,CRMLS,OC20059564,N,Y,33.65593,-117.914317
